iter	RMSE
0	15.03102705
1	14.6450839
2	14.24751445
3	13.88983458
4	13.55875196
5	13.27100514
6	12.96500151
7	12.6955792
8	12.43438899
9	12.13039928
10	11.83583571
11	11.59037105
12	11.35474764
13	11.11386123
14	10.87215634
15	10.62622574
16	10.41171251
17	10.20227745
18	9.986195246
19	9.784329133
20	9.612248574
21	9.435436566
22	9.254519071
23	9.076573477
24	8.92123445
25	8.777351747
26	8.640780684
27	8.512596289
28	8.37537667
29	8.241080614
30	8.128837516
31	8.014591883
32	7.908146303
33	7.80475944
34	7.688858608
35	7.583184404
36	7.477088656
37	7.391469533
38	7.301841723
39	7.211333136
40	7.136551935
41	7.062261101
42	6.985501956
43	6.920901748
44	6.853437253
45	6.790968845
46	6.726980795
47	6.662476883
48	6.600068153
49	6.53669484
50	6.47744342
51	6.417930217
52	6.366013132
53	6.31711441
54	6.267493161
55	6.221491543
56	6.179294584
57	6.139522382
58	6.098077188
59	6.055735566
60	6.020720363
61	5.982891658
62	5.951536818
63	5.915703786
64	5.883900752
65	5.854311544
66	5.824222333
67	5.794754062
68	5.771465032
69	5.748287326
70	5.722780649
71	5.694402373
72	5.669980335
73	5.644892506
74	5.624478715
75	5.606030955
76	5.584401773
77	5.566849566
78	5.552023837
79	5.532507805
80	5.5113552
81	5.502765939
82	5.484594271
83	5.468728749
84	5.446588679
85	5.433341965
86	5.415051574
87	5.400036558
88	5.384715894
89	5.371926856
90	5.361868177
91	5.348783214
92	5.337986622
93	5.329327333
94	5.32572629
95	5.310558128
96	5.300299414
97	5.290098078
98	5.279306534
99	5.264861371
100	5.255244352
101	5.244344111
102	5.233580175
103	5.223588379
104	5.216740271
105	5.207210764
106	5.197571909
107	5.187348268
108	5.178239541
109	5.169743496
110	5.158664083
111	5.151050322
112	5.145547907
113	5.136972711
114	5.130438706
115	5.119256799
116	5.11158565
117	5.10648768
118	5.09842201
119	5.091025016
120	5.086294967
121	5.081917471
122	5.07319198
123	5.066755062
124	5.062801822
125	5.057335819
126	5.050922685
127	5.043813681
128	5.037988342
129	5.03401879
130	5.02865291
131	5.024992424
132	5.013771395
133	5.007799277
134	5.002546641
135	4.997838807
136	4.992541383
137	4.988067553
138	4.982383073
139	4.977906627
140	4.972759981
141	4.965094952
142	4.959259539
143	4.956244545
144	4.950955146
145	4.944551217
146	4.940471278
147	4.932456598
148	4.928720376
149	4.925019528
150	4.923750652
151	4.919636568
152	4.914277169
153	4.910675999
154	4.903167699
155	4.901838545
156	4.894249343
157	4.888894505
158	4.884542939
159	4.880898888
160	4.874821901
161	4.869665531
162	4.863679173
163	4.856081223
164	4.851655897
165	4.849017758
166	4.845937583
167	4.842720113
168	4.839863493
169	4.835672856
170	4.831517211
171	4.82528804
172	4.821053645
173	4.814881188
174	4.80931122
175	4.804671693
176	4.795336069
177	4.792270299
178	4.787759334
179	4.784665984
180	4.780194484
181	4.775721414
182	4.77157432
183	4.767132342
184	4.76338429
185	4.760522003
186	4.757474879
187	4.750617219
188	4.746804457
189	4.742621074
190	4.736901911
191	4.733466988
192	4.729104304
193	4.725881357
194	4.722979039
195	4.719206831
196	4.715522461
197	4.712233344
198	4.708375348
199	4.705958213
200	4.701235034
201	4.698276783
202	4.691836402
203	4.689805246
204	4.684823808
205	4.679898936
206	4.676643387
207	4.672456541
208	4.667628604
209	4.664990063
210	4.657849104
211	4.654929089
212	4.650640061
213	4.646076969
214	4.640018215
215	4.63775834
216	4.631655051
217	4.624850235
218	4.622457399
219	4.619410287
220	4.617751753
221	4.611778901
222	4.608266788
223	4.604862954
224	4.6030422
225	4.599266299
226	4.595275155
227	4.592885369
228	4.589863087
229	4.587504199
230	4.585792599
231	4.583370321
232	4.580447201
233	4.577133764
234	4.574856884
235	4.57200543
236	4.569445809
237	4.567018711
238	4.56440495
239	4.563344006
240	4.555872323
241	4.552964593
242	4.550608958
243	4.543949264
244	4.537354989
245	4.534752245
246	4.53177373
247	4.530184289
248	4.528212297
249	4.519803428
250	4.516389308
251	4.514752728
252	4.511442108
253	4.508923267
254	4.5032341
255	4.497953658
256	4.493216795
257	4.491284971
258	4.488853181
259	4.486460545
260	4.480059784
261	4.475818184
262	4.47278241
263	4.465805195
264	4.463802372
265	4.459384713
266	4.45716008
267	4.455664184
268	4.452508363
269	4.444938527
270	4.443427312
271	4.440759221
272	4.439426846
273	4.437441682
274	4.436039891
275	4.435076591
276	4.433143033
277	4.429127125
278	4.427809527
279	4.422264299
280	4.415269442
281	4.414348297
282	4.408483898
283	4.407179461
284	4.402054015
285	4.398010133
286	4.395232973
287	4.392571172
288	4.38749116
289	4.385367373
290	4.384078537
291	4.382485206
292	4.37722319
293	4.368195482
294	4.365924487
295	4.360660982
296	4.359441348
297	4.352180075
298	4.347568459
299	4.343780452
300	4.340443871
301	4.337551119
302	4.333233779
303	4.331077849
304	4.329554676
305	4.328053119
306	4.325609874
307	4.319385127
308	4.315383869
309	4.312551461
310	4.307697778
311	4.30667181
312	4.304465172
313	4.29885978
314	4.296566444
315	4.294408515
316	4.289657291
317	4.286040442
318	4.282169663
319	4.277008336
320	4.271827829
321	4.269399578
322	4.264051875
323	4.261138272
324	4.260424585
325	4.253520159
326	4.251819901
327	4.24724071
328	4.245600752
329	4.244363431
330	4.242637563
331	4.240655469
332	4.237451479
333	4.236090164
334	4.23494007
335	4.230420007
336	4.229286791
337	4.22329893
338	4.220363697
339	4.219686366
340	4.216942087
341	4.214968696
342	4.212365444
343	4.207237988
344	4.201290551
345	4.199530775
346	4.193237974
347	4.190393371
348	4.189689575
349	4.184240862
350	4.182381973
351	4.176928146
352	4.173807454
353	4.169310903
354	4.165957367
355	4.163640937
