iter	Passed	Remaining
0	132	132630
1	134	66893
2	135	44910
3	135	33821
4	136	27177
5	137	22804
6	138	19645
7	139	17266
8	139	15399
9	140	13898
10	141	12678
11	141	11665
12	142	10807
13	143	10095
14	144	9461
15	144	8900
16	145	8398
17	145	7955
18	146	7563
19	147	7209
20	147	6890
21	148	6599
22	149	6349
23	150	6112
24	151	5897
25	152	5698
26	152	5505
27	153	5330
28	154	5168
29	155	5018
30	156	4878
31	156	4740
32	157	4610
33	157	4487
34	158	4370
35	159	4260
36	159	4154
37	160	4056
38	160	3964
39	161	3874
40	162	3791
41	162	3713
42	163	3643
43	164	3571
44	165	3505
45	165	3439
46	166	3374
47	167	3314
48	167	3255
49	168	3202
50	169	3148
51	169	3093
52	170	3040
53	170	2989
54	171	2940
55	171	2893
56	172	2849
57	172	2806
58	173	2764
59	173	2724
60	174	2689
61	175	2653
62	176	2621
63	177	2590
64	177	2558
65	178	2532
66	180	2506
67	180	2476
68	181	2445
69	181	2414
70	182	2388
71	183	2359
72	183	2333
73	184	2307
74	185	2283
75	185	2259
76	186	2235
77	187	2211
78	187	2188
79	188	2166
80	188	2143
81	189	2119
82	189	2097
83	190	2077
84	191	2057
85	191	2037
86	192	2019
87	193	2005
88	194	1988
89	194	1971
90	195	1955
91	196	1938
92	196	1920
93	197	1904
94	198	1886
95	198	1871
96	199	1855
97	199	1840
98	200	1825
99	201	1810
100	201	1795
101	202	1781
102	203	1768
103	203	1755
104	204	1742
105	205	1729
106	205	1716
107	206	1702
108	206	1689
109	207	1677
110	208	1666
111	208	1654
112	209	1643
113	210	1632
114	210	1621
115	211	1610
116	211	1599
117	212	1588
118	213	1578
119	213	1567
120	214	1557
121	215	1547
122	215	1537
123	216	1527
124	216	1518
125	217	1509
126	218	1499
127	218	1491
128	219	1482
129	220	1473
130	220	1464
131	221	1455
132	221	1446
133	222	1438
134	223	1430
135	224	1423
136	224	1416
137	225	1407
138	225	1399
139	226	1391
140	227	1384
141	227	1376
142	228	1368
143	228	1361
144	229	1354
145	230	1347
146	230	1339
147	231	1332
148	232	1325
149	232	1318
150	233	1310
151	233	1304
152	234	1297
153	235	1291
154	235	1284
155	236	1276
156	236	1270
157	237	1264
158	238	1258
159	238	1253
160	239	1247
161	240	1242
162	241	1237
163	241	1232
164	242	1226
165	242	1220
166	243	1215
167	244	1209
168	244	1204
169	245	1198
170	246	1193
171	246	1187
172	247	1182
173	247	1177
174	248	1171
175	249	1166
176	249	1160
177	250	1155
178	250	1150
179	251	1145
180	252	1140
181	252	1135
182	253	1131
183	254	1126
184	254	1122
185	255	1118
186	256	1114
187	256	1109
188	257	1105
189	258	1100
190	258	1095
191	259	1091
192	259	1086
193	260	1081
194	260	1077
195	261	1073
196	262	1068
197	262	1064
198	263	1060
199	263	1055
200	264	1051
201	265	1047
202	265	1043
203	266	1038
204	266	1034
205	267	1030
206	267	1026
207	268	1022
208	269	1020
209	270	1016
210	270	1012
211	271	1009
212	272	1005
213	272	1002
214	273	998
215	273	994
216	274	990
217	275	987
218	275	983
219	276	980
220	277	976
221	277	973
222	278	969
223	278	966
224	279	963
225	280	959
226	280	956
227	281	953
228	281	949
229	282	945
230	283	942
231	283	939
232	284	936
233	285	933
234	286	931
235	286	928
236	287	925
237	287	922
238	288	918
239	289	915
240	289	912
241	290	909
242	290	906
243	291	903
244	292	900
245	292	897
246	293	894
247	293	891
248	294	888
249	295	885
250	295	882
251	296	879
252	296	876
253	297	873
254	298	870
255	299	870
256	300	869
257	301	866
258	301	863
259	302	861
260	303	858
261	303	855
262	304	853
263	305	850
264	305	847
265	306	845
266	306	842
267	307	839
268	308	837
269	308	834
270	309	832
271	309	829
272	310	826
273	311	824
274	311	821
275	312	819
276	312	816
277	313	813
278	314	811
279	315	810
280	315	807
281	316	805
282	317	803
283	317	800
284	318	798
285	318	796
286	319	793
287	320	791
288	320	789
289	321	786
290	321	784
291	322	781
292	323	779
293	323	777
294	324	774
295	324	772
296	325	770
297	326	768
298	326	765
299	327	763
300	328	761
301	328	759
302	329	757
303	330	755
304	330	754
305	331	752
306	332	750
307	333	748
308	333	746
309	334	744
310	334	741
311	335	739
312	336	737
313	336	735
314	337	733
315	337	731
316	338	729
317	339	727
318	339	725
319	340	723
320	340	721
321	341	719
322	342	717
323	342	715
324	343	713
325	344	711
326	344	709
327	345	707
328	346	706
329	346	704
330	347	702
331	348	700
332	348	698
333	349	696
334	349	694
335	350	692
336	351	690
337	351	689
338	352	687
339	353	685
340	353	683
341	354	681
342	354	679
343	355	678
344	356	676
345	356	674
346	357	672
347	357	670
348	358	668
349	359	666
350	359	664
351	360	663
352	360	661
353	361	660
354	362	658
355	363	656
356	363	654
357	364	653
358	364	651
359	365	650
360	366	648
361	366	646
362	367	644
363	368	643
364	368	641
365	369	639
366	369	637
367	370	635
368	370	634
369	371	632
370	372	630
371	372	629
372	373	627
373	374	626
374	374	624
375	375	622
376	375	621
377	376	619
378	377	618
379	377	616
380	378	614
381	379	613
382	379	611
383	380	610
384	380	608
385	381	606
386	382	605
387	382	603
388	383	601
389	383	600
390	384	598
391	385	597
392	385	595
393	386	594
394	386	592
395	387	591
396	388	589
397	388	587
398	389	586
399	389	584
400	390	583
401	391	582
402	392	580
403	392	579
404	393	577
405	394	576
406	394	574
407	395	573
408	395	572
409	396	570
410	397	568
411	397	567
412	398	565
413	398	564
414	399	562
415	400	561
416	400	560
417	401	558
418	401	557
419	402	555
420	403	554
421	403	552
422	404	551
423	404	550
424	405	548
425	406	547
426	406	546
427	407	544
428	408	543
429	408	542
430	409	540
431	410	539
432	410	537
433	411	536
434	411	534
435	412	533
436	413	532
437	414	531
438	414	530
439	415	528
440	416	527
441	416	526
442	417	524
443	418	523
444	418	522
445	419	520
446	420	519
447	420	518
448	421	517
449	422	515
450	422	514
451	423	513
452	424	512
453	424	511
454	425	509
455	426	508
456	426	507
457	427	506
458	428	504
459	428	503
460	429	502
461	430	500
462	430	499
463	431	498
464	431	496
465	432	495
466	432	494
467	433	492
468	434	491
469	434	490
470	435	488
471	435	487
472	436	486
473	437	485
474	438	484
475	438	482
476	439	481
477	440	480
478	441	479
479	441	478
480	442	477
481	442	475
482	443	474
483	443	473
484	444	472
485	445	470
486	445	469
487	446	468
488	447	467
489	447	465
490	448	464
491	448	463
492	449	462
493	450	461
494	450	459
495	451	458
496	452	457
497	452	456
498	453	455
499	454	454
500	454	453
501	455	451
502	456	450
503	456	449
504	457	448
505	457	447
506	458	445
507	459	444
508	459	443
509	460	442
510	460	440
511	461	439
512	462	438
513	462	437
514	463	436
515	463	435
516	464	433
517	465	432
518	465	431
519	466	430
520	466	429
521	467	428
522	468	427
523	469	426
524	469	424
525	470	423
526	470	422
527	471	421
528	472	420
529	472	419
530	473	418
531	473	416
532	474	415
533	475	414
534	475	413
535	476	412
536	476	411
537	477	410
538	478	408
539	478	407
540	479	406
541	479	405
542	480	404
543	481	403
544	481	402
545	482	401
546	483	400
547	483	399
548	484	398
